freq,L,Q,N,L1,L2,W,S,"mag(S(1,1))","phase(S(1,1))"
700.0 MHz,20.646,92.468,0.25,3.0,3.7,0.2,0.25,0.996,159.413
700.0 MHz,18.51,105.017,0.25,3.0,3.7,0.25,0.2,0.997,161.504
700.0 MHz,21.226,92.306,0.25,3.0,3.8,0.2,0.25,0.996,158.847
700.0 MHz,19.051,104.588,0.25,3.0,3.8,0.25,0.2,0.997,160.973
700.0 MHz,21.811,92.015,0.25,3.0,3.9,0.2,0.25,0.996,158.279
700.0 MHz,22.382,91.76,0.25,3.0,4.0,0.2,0.25,0.996,157.724
700.0 MHz,22.962,91.627,0.25,3.0,4.1,0.2,0.25,0.996,157.161
700.0 MHz,23.541,91.438,0.25,3.0,4.2,0.2,0.25,0.996,156.601
700.0 MHz,24.122,91.296,0.25,3.0,4.3,0.2,0.25,0.996,156.04
700.0 MHz,24.702,91.164,0.25,3.0,4.4,0.2,0.25,0.995,155.481
700.0 MHz,25.284,91.044,0.25,3.0,4.5,0.2,0.25,0.995,154.921
700.0 MHz,25.864,90.938,0.25,3.0,4.6,0.2,0.25,0.995,154.366
700.0 MHz,26.446,90.748,0.25,3.0,4.7,0.2,0.25,0.995,153.808
700.0 MHz,27.06,91.795,0.25,3.0,4.8,0.2,0.25,0.995,153.221
700.0 MHz,27.633,91.595,0.25,3.0,4.9,0.2,0.3,0.995,152.676
700.0 MHz,24.946,103.876,0.25,3.0,4.9,0.25,0.3,0.996,155.247
700.0 MHz,28.216,91.494,0.25,3.0,5.0,0.2,0.3,0.995,152.122
700.0 MHz,25.485,103.717,0.25,3.0,5.0,0.25,0.3,0.996,154.729
700.0 MHz,14.314,66.193,0.25,3.1,2.0,0.1,0.1,,
700.0 MHz,10.85,94.131,0.25,3.1,2.0,0.2,0.2,0.998,169.096
700.0 MHz,11.42,93.221,0.25,3.1,2.1,0.2,0.2,0.998,168.527
700.0 MHz,13.119,91.555,0.25,3.1,2.4,0.2,0.2,0.998,166.835
700.0 MHz,13.689,90.998,0.25,3.1,2.5,0.2,0.25,0.997,166.267
700.0 MHz,12.146,103.849,0.25,3.1,2.5,0.25,0.2,0.998,167.803
700.0 MHz,14.287,93.781,0.25,3.1,2.6,0.2,0.25,0.997,165.674
700.0 MHz,12.659,108.714,0.25,3.1,2.6,0.25,0.2,0.998,167.292
700.0 MHz,14.864,93.337,0.25,3.1,2.7,0.2,0.25,0.997,165.101
700.0 MHz,13.193,106.606,0.25,3.1,2.7,0.25,0.2,0.998,166.761
700.0 MHz,15.437,93.014,0.25,3.1,2.8,0.2,0.25,0.997,164.534
700.0 MHz,13.72,106.282,0.25,3.1,2.8,0.25,0.2,0.998,166.237
700.0 MHz,16.011,92.789,0.25,3.1,2.9,0.2,0.25,0.997,163.967
700.0 MHz,14.264,105.282,0.25,3.1,2.9,0.25,0.2,0.998,165.696
700.0 MHz,16.591,92.325,0.25,3.1,3.0,0.2,0.25,0.997,163.394
700.0 MHz,14.794,104.982,0.25,3.1,3.0,0.25,0.2,0.998,165.171
700.0 MHz,17.161,91.992,0.25,3.1,3.1,0.2,0.25,0.997,162.831
700.0 MHz,15.329,104.475,0.25,3.1,3.1,0.25,0.2,0.997,164.641
700.0 MHz,17.735,91.724,0.25,3.1,3.2,0.2,0.25,0.997,162.266
700.0 MHz,15.857,104.283,0.25,3.1,3.2,0.25,0.2,0.997,164.119
700.0 MHz,18.312,91.489,0.25,3.1,3.3,0.2,0.25,0.997,161.698
700.0 MHz,16.387,104.11,0.25,3.1,3.3,0.25,0.2,0.997,163.595
700.0 MHz,18.889,91.285,0.25,3.1,3.4,0.2,0.25,0.996,161.132
700.0 MHz,16.916,103.935,0.25,3.1,3.4,0.25,0.2,0.997,163.073
700.0 MHz,19.464,91.098,0.25,3.1,3.5,0.2,0.25,0.996,160.569
700.0 MHz,17.444,103.535,0.25,3.1,3.5,0.25,0.2,0.997,162.552
700.0 MHz,20.042,90.829,0.25,3.1,3.6,0.2,0.25,0.996,160.003
700.0 MHz,17.975,103.3,0.25,3.1,3.6,0.25,0.2,0.997,162.03
700.0 MHz,20.646,92.468,0.25,3.1,3.7,0.2,0.25,0.996,159.413
700.0 MHz,18.51,105.017,0.25,3.1,3.7,0.25,0.2,0.997,161.504
700.0 MHz,21.226,92.306,0.25,3.1,3.8,0.2,0.25,0.996,158.847
700.0 MHz,21.811,92.015,0.25,3.1,3.9,0.2,0.25,0.996,158.279
700.0 MHz,22.382,91.76,0.25,3.1,4.0,0.2,0.25,0.996,157.724
700.0 MHz,22.962,91.627,0.25,3.1,4.1,0.2,0.25,0.996,157.161
700.0 MHz,23.541,91.438,0.25,3.1,4.2,0.2,0.25,0.996,156.601
700.0 MHz,24.122,91.296,0.25,3.1,4.3,0.2,0.25,0.996,156.04
700.0 MHz,24.702,91.164,0.25,3.1,4.4,0.2,0.25,0.995,155.481
700.0 MHz,25.284,91.044,0.25,3.1,4.5,0.2,0.25,0.995,154.921
700.0 MHz,25.864,90.938,0.25,3.1,4.6,0.2,0.25,0.995,154.366
700.0 MHz,26.446,90.748,0.25,3.1,4.7,0.2,0.25,0.995,153.808
700.0 MHz,27.06,91.795,0.25,3.1,4.8,0.2,0.25,0.995,153.221
700.0 MHz,27.633,91.595,0.25,3.1,4.9,0.2,0.3,0.995,152.676
700.0 MHz,24.946,103.876,0.25,3.1,4.9,0.25,0.3,0.996,155.247
700.0 MHz,28.216,91.494,0.25,3.1,5.0,0.2,0.3,0.995,152.122
700.0 MHz,25.485,103.717,0.25,3.1,5.0,0.25,0.3,0.996,154.729
700.0 MHz,14.314,66.193,0.25,3.2,2.0,0.1,0.1,,
700.0 MHz,10.85,94.131,0.25,3.2,2.0,0.2,0.2,0.998,169.096
700.0 MHz,11.42,93.221,0.25,3.2,2.1,0.2,0.2,0.998,168.527
700.0 MHz,13.119,91.555,0.25,3.2,2.4,0.2,0.2,0.998,166.835
700.0 MHz,13.689,90.998,0.25,3.2,2.5,0.2,0.25,0.997,166.267
700.0 MHz,12.146,103.849,0.25,3.2,2.5,0.25,0.2,0.998,167.803
700.0 MHz,14.287,93.781,0.25,3.2,2.6,0.2,0.25,0.997,165.674
700.0 MHz,12.659,108.714,0.25,3.2,2.6,0.25,0.2,0.998,167.292
700.0 MHz,14.864,93.337,0.25,3.2,2.7,0.2,0.25,0.997,165.101
700.0 MHz,13.193,106.606,0.25,3.2,2.7,0.25,0.2,0.998,166.761
700.0 MHz,15.437,93.014,0.25,3.2,2.8,0.2,0.25,0.997,164.534
700.0 MHz,13.72,106.282,0.25,3.2,2.8,0.25,0.2,0.998,166.237
700.0 MHz,16.011,92.789,0.25,3.2,2.9,0.2,0.25,0.997,163.967
700.0 MHz,14.264,105.282,0.25,3.2,2.9,0.25,0.2,0.998,165.696
700.0 MHz,16.591,92.325,0.25,3.2,3.0,0.2,0.25,0.997,163.394
700.0 MHz,14.794,104.982,0.25,3.2,3.0,0.25,0.2,0.998,165.171
700.0 MHz,17.161,91.992,0.25,3.2,3.1,0.2,0.25,0.997,162.831
700.0 MHz,15.329,104.475,0.25,3.2,3.1,0.25,0.2,0.997,164.641
700.0 MHz,17.735,91.724,0.25,3.2,3.2,0.2,0.25,0.997,162.266
700.0 MHz,15.857,104.283,0.25,3.2,3.2,0.25,0.2,0.997,164.119
700.0 MHz,18.312,91.489,0.25,3.2,3.3,0.2,0.25,0.997,161.698
700.0 MHz,16.387,104.11,0.25,3.2,3.3,0.25,0.2,0.997,163.595
700.0 MHz,18.889,91.285,0.25,3.2,3.4,0.2,0.25,0.996,161.132
700.0 MHz,16.916,103.935,0.25,3.2,3.4,0.25,0.2,0.997,163.073
700.0 MHz,19.464,91.098,0.25,3.2,3.5,0.2,0.25,0.996,160.569
700.0 MHz,17.444,103.535,0.25,3.2,3.5,0.25,0.2,0.997,162.552
700.0 MHz,20.042,90.829,0.25,3.2,3.6,0.2,0.25,0.996,160.003
700.0 MHz,17.975,103.3,0.25,3.2,3.6,0.25,0.2,0.997,162.03
700.0 MHz,20.646,92.468,0.25,3.2,3.7,0.2,0.25,0.996,159.413
700.0 MHz,18.51,105.017,0.25,3.2,3.7,0.25,0.2,0.997,161.504
700.0 MHz,21.226,92.306,0.25,3.2,3.8,0.2,0.25,0.996,158.847
700.0 MHz,21.811,92.015,0.25,3.2,3.9,0.2,0.25,0.996,158.279
700.0 MHz,22.382,91.76,0.25,3.2,4.0,0.2,0.25,0.996,157.724
700.0 MHz,22.962,91.627,0.25,3.2,4.1,0.2,0.25,0.996,157.161
700.0 MHz,23.541,91.438,0.25,3.2,4.2,0.2,0.25,0.996,156.601
700.0 MHz,24.122,91.296,0.25,3.2,4.3,0.2,0.25,0.996,156.04
700.0 MHz,24.702,91.164,0.25,3.2,4.4,0.2,0.25,0.995,155.481
700.0 MHz,25.284,91.044,0.25,3.2,4.5,0.2,0.25,0.995,154.921
700.0 MHz,25.864,90.938,0.25,3.2,4.6,0.2,0.25,0.995,154.366
700.0 MHz,26.446,90.748,0.25,3.2,4.7,0.2,0.25,0.995,153.808
700.0 MHz,27.06,91.795,0.25,3.2,4.8,0.2,0.25,0.995,153.221
700.0 MHz,27.633,91.595,0.25,3.2,4.9,0.2,0.3,0.995,152.676
700.0 MHz,24.946,103.876,0.25,3.2,4.9,0.25,0.3,0.996,155.247
700.0 MHz,28.216,91.494,0.25,3.2,5.0,0.2,0.3,0.995,152.122
700.0 MHz,25.485,103.717,0.25,3.2,5.0,0.25,0.3,0.996,154.729
700.0 MHz,14.314,66.193,0.25,3.3,2.0,0.1,0.1,,
700.0 MHz,10.85,94.131,0.25,3.3,2.0,0.2,0.2,0.998,169.096
700.0 MHz,11.42,93.221,0.25,3.3,2.1,0.2,0.2,0.998,168.527
700.0 MHz,13.119,91.555,0.25,3.3,2.4,0.2,0.2,0.998,166.835
700.0 MHz,13.689,90.998,0.25,3.3,2.5,0.2,0.25,0.997,166.267
700.0 MHz,12.146,103.849,0.25,3.3,2.5,0.25,0.2,0.998,167.803
700.0 MHz,14.287,93.781,0.25,3.3,2.6,0.2,0.25,0.997,165.674
700.0 MHz,12.659,108.714,0.25,3.3,2.6,0.25,0.2,0.998,167.292
700.0 MHz,14.864,93.337,0.25,3.3,2.7,0.2,0.25,0.997,165.101
700.0 MHz,13.193,106.606,0.25,3.3,2.7,0.25,0.2,0.998,166.761
700.0 MHz,15.437,93.014,0.25,3.3,2.8,0.2,0.25,0.997,164.534
700.0 MHz,13.72,106.282,0.25,3.3,2.8,0.25,0.2,0.998,166.237
700.0 MHz,16.011,92.789,0.25,3.3,2.9,0.2,0.25,0.997,163.967
700.0 MHz,14.264,105.282,0.25,3.3,2.9,0.25,0.2,0.998,165.696
700.0 MHz,16.591,92.325,0.25,3.3,3.0,0.2,0.25,0.997,163.394
700.0 MHz,14.794,104.982,0.25,3.3,3.0,0.25,0.2,0.998,165.171
700.0 MHz,17.161,91.992,0.25,3.3,3.1,0.2,0.25,0.997,162.831
700.0 MHz,15.329,104.475,0.25,3.3,3.1,0.25,0.2,0.997,164.641
700.0 MHz,17.735,91.724,0.25,3.3,3.2,0.2,0.25,0.997,162.266
700.0 MHz,15.857,104.283,0.25,3.3,3.2,0.25,0.2,0.997,164.119
700.0 MHz,18.312,91.489,0.25,3.3,3.3,0.2,0.25,0.997,161.698
700.0 MHz,16.387,104.11,0.25,3.3,3.3,0.25,0.2,0.997,163.595
700.0 MHz,18.889,91.285,0.25,3.3,3.4,0.2,0.25,0.996,161.132
700.0 MHz,16.916,103.935,0.25,3.3,3.4,0.25,0.2,0.997,163.073
700.0 MHz,19.464,91.098,0.25,3.3,3.5,0.2,0.25,0.996,160.569
700.0 MHz,17.444,103.535,0.25,3.3,3.5,0.25,0.2,0.997,162.552
700.0 MHz,20.042,90.829,0.25,3.3,3.6,0.2,0.25,0.996,160.003
700.0 MHz,17.975,103.3,0.25,3.3,3.6,0.25,0.2,0.997,162.03
700.0 MHz,20.646,92.468,0.25,3.3,3.7,0.2,0.25,0.996,159.413
700.0 MHz,18.51,105.017,0.25,3.3,3.7,0.25,0.2,0.997,161.504
700.0 MHz,21.226,92.306,0.25,3.3,3.8,0.2,0.25,0.996,158.847
700.0 MHz,21.811,92.015,0.25,3.3,3.9,0.2,0.25,0.996,158.279
700.0 MHz,22.382,91.76,0.25,3.3,4.0,0.2,0.25,0.996,157.724
700.0 MHz,22.962,91.627,0.25,3.3,4.1,0.2,0.25,0.996,157.161
700.0 MHz,23.541,91.438,0.25,3.3,4.2,0.2,0.25,0.996,156.601
700.0 MHz,24.122,91.296,0.25,3.3,4.3,0.2,0.25,0.996,156.04
700.0 MHz,24.702,91.164,0.25,3.3,4.4,0.2,0.25,0.995,155.481
700.0 MHz,25.284,91.044,0.25,3.3,4.5,0.2,0.25,0.995,154.921
700.0 MHz,25.864,90.938,0.25,3.3,4.6,0.2,0.25,0.995,154.366
700.0 MHz,26.446,90.748,0.25,3.3,4.7,0.2,0.25,0.995,153.808
700.0 MHz,27.06,91.795,0.25,3.3,4.8,0.2,0.25,0.995,153.221
700.0 MHz,27.633,91.595,0.25,3.3,4.9,0.2,0.3,0.995,152.676
700.0 MHz,24.946,103.876,0.25,3.3,4.9,0.25,0.3,0.996,155.247
700.0 MHz,28.216,91.494,0.25,3.3,5.0,0.2,0.3,0.995,152.122
700.0 MHz,25.485,103.717,0.25,3.3,5.0,0.25,0.3,0.996,154.729
700.0 MHz,14.314,66.193,0.25,3.4,2.0,0.1,0.1,,
700.0 MHz,10.85,94.131,0.25,3.4,2.0,0.2,0.2,0.998,169.096
700.0 MHz,11.42,93.221,0.25,3.4,2.1,0.2,0.2,0.998,168.527
700.0 MHz,11.983,92.476,0.25,3.4,2.2,0.2,0.2,0.998,167.966
700.0 MHz,13.119,91.555,0.25,3.4,2.4,0.2,0.2,0.998,166.835
700.0 MHz,13.689,90.998,0.25,3.4,2.5,0.2,0.25,0.997,166.267
700.0 MHz,12.146,103.849,0.25,3.4,2.5,0.25,0.2,0.998,167.803
700.0 MHz,14.287,93.781,0.25,3.4,2.6,0.2,0.25,0.997,165.674
700.0 MHz,12.659,108.714,0.25,3.4,2.6,0.25,0.2,0.998,167.292
700.0 MHz,14.864,93.337,0.25,3.4,2.7,0.2,0.25,0.997,165.101
700.0 MHz,13.193,106.606,0.25,3.4,2.7,0.25,0.2,0.998,166.761
700.0 MHz,15.437,93.014,0.25,3.4,2.8,0.2,0.25,0.997,164.534
700.0 MHz,13.72,106.282,0.25,3.4,2.8,0.25,0.2,0.998,166.237
700.0 MHz,16.011,92.789,0.25,3.4,2.9,0.2,0.25,0.997,163.967
700.0 MHz,14.264,105.282,0.25,3.4,2.9,0.25,0.2,0.998,165.696
700.0 MHz,16.591,92.325,0.25,3.4,3.0,0.2,0.25,0.997,163.394
700.0 MHz,14.794,104.982,0.25,3.4,3.0,0.25,0.2,0.998,165.171
700.0 MHz,17.161,91.992,0.25,3.4,3.1,0.2,0.25,0.997,162.831
700.0 MHz,15.329,104.475,0.25,3.4,3.1,0.25,0.2,0.997,164.641
700.0 MHz,17.735,91.724,0.25,3.4,3.2,0.2,0.25,0.997,162.266
700.0 MHz,15.857,104.283,0.25,3.4,3.2,0.25,0.2,0.997,164.119
700.0 MHz,18.312,91.489,0.25,3.4,3.3,0.2,0.25,0.997,161.698
700.0 MHz,16.387,104.11,0.25,3.4,3.3,0.25,0.2,0.997,163.595
700.0 MHz,18.889,91.285,0.25,3.4,3.4,0.2,0.25,0.996,161.132
700.0 MHz,16.916,103.935,0.25,3.4,3.4,0.25,0.2,0.997,163.073
700.0 MHz,19.464,91.098,0.25,3.4,3.5,0.2,0.25,0.996,160.569
700.0 MHz,17.444,103.535,0.25,3.4,3.5,0.25,0.2,0.997,162.552
700.0 MHz,20.042,90.829,0.25,3.4,3.6,0.2,0.25,0.996,160.003
700.0 MHz,17.975,103.3,0.25,3.4,3.6,0.25,0.2,0.997,162.03
700.0 MHz,20.646,92.468,0.25,3.4,3.7,0.2,0.25,0.996,159.413
700.0 MHz,18.51,105.017,0.25,3.4,3.7,0.25,0.2,0.997,161.504
700.0 MHz,21.226,92.306,0.25,3.4,3.8,0.2,0.25,0.996,158.847
700.0 MHz,21.811,92.015,0.25,3.4,3.9,0.2,0.25,0.996,158.279
700.0 MHz,22.382,91.76,0.25,3.4,4.0,0.2,0.25,0.996,157.724
700.0 MHz,22.962,91.627,0.25,3.4,4.1,0.2,0.25,0.996,157.161
700.0 MHz,23.541,91.438,0.25,3.4,4.2,0.2,0.25,0.996,156.601
700.0 MHz,24.122,91.296,0.25,3.4,4.3,0.2,0.25,0.996,156.04
700.0 MHz,24.702,91.164,0.25,3.4,4.4,0.2,0.25,0.995,155.481
700.0 MHz,25.284,91.044,0.25,3.4,4.5,0.2,0.25,0.995,154.921
700.0 MHz,25.864,90.938,0.25,3.4,4.6,0.2,0.25,0.995,154.366
700.0 MHz,26.446,90.748,0.25,3.4,4.7,0.2,0.25,0.995,153.808
700.0 MHz,27.06,91.795,0.25,3.4,4.8,0.2,0.25,0.995,153.221
700.0 MHz,27.633,91.595,0.25,3.4,4.9,0.2,0.3,0.995,152.676
700.0 MHz,24.946,103.876,0.25,3.4,4.9,0.25,0.3,0.996,155.247
700.0 MHz,28.216,91.494,0.25,3.4,5.0,0.2,0.3,0.995,152.122
700.0 MHz,25.485,103.717,0.25,3.4,5.0,0.25,0.3,0.996,154.729
700.0 MHz,14.314,66.193,0.25,3.5,2.0,0.1,0.1,,
700.0 MHz,10.85,94.131,0.25,3.5,2.0,0.2,0.2,0.998,169.096
700.0 MHz,11.42,93.221,0.25,3.5,2.1,0.2,0.2,0.998,168.527
700.0 MHz,13.119,91.555,0.25,3.5,2.4,0.2,0.2,0.998,166.835
700.0 MHz,13.689,90.998,0.25,3.5,2.5,0.2,0.25,0.997,166.267
700.0 MHz,12.146,103.849,0.25,3.5,2.5,0.25,0.2,0.998,167.803
700.0 MHz,14.287,93.781,0.25,3.5,2.6,0.2,0.25,0.997,165.674
700.0 MHz,12.659,108.714,0.25,3.5,2.6,0.25,0.2,0.998,167.292
700.0 MHz,14.864,93.337,0.25,3.5,2.7,0.2,0.25,0.997,165.101
700.0 MHz,13.193,106.606,0.25,3.5,2.7,0.25,0.2,0.998,166.761
700.0 MHz,15.437,93.014,0.25,3.5,2.8,0.2,0.25,0.997,164.534
700.0 MHz,13.72,106.282,0.25,3.5,2.8,0.25,0.2,0.998,166.237
700.0 MHz,16.011,92.789,0.25,3.5,2.9,0.2,0.25,0.997,163.967
700.0 MHz,14.264,105.282,0.25,3.5,2.9,0.25,0.2,0.998,165.696
700.0 MHz,16.591,92.325,0.25,3.5,3.0,0.2,0.25,0.997,163.394
700.0 MHz,14.794,104.982,0.25,3.5,3.0,0.25,0.2,0.998,165.171
700.0 MHz,17.161,91.992,0.25,3.5,3.1,0.2,0.25,0.997,162.831
700.0 MHz,15.329,104.475,0.25,3.5,3.1,0.25,0.2,0.997,164.641
700.0 MHz,17.735,91.724,0.25,3.5,3.2,0.2,0.25,0.997,162.266
700.0 MHz,15.857,104.283,0.25,3.5,3.2,0.25,0.2,0.997,164.119
700.0 MHz,18.312,91.489,0.25,3.5,3.3,0.2,0.25,0.997,161.698
700.0 MHz,16.387,104.11,0.25,3.5,3.3,0.25,0.2,0.997,163.595
700.0 MHz,18.889,91.285,0.25,3.5,3.4,0.2,0.25,0.996,161.132
700.0 MHz,16.916,103.935,0.25,3.5,3.4,0.25,0.2,0.997,163.073
700.0 MHz,19.464,91.098,0.25,3.5,3.5,0.2,0.25,0.996,160.569
700.0 MHz,17.444,103.535,0.25,3.5,3.5,0.25,0.2,0.997,162.552
700.0 MHz,20.042,90.829,0.25,3.5,3.6,0.2,0.25,0.996,160.003
700.0 MHz,17.975,103.3,0.25,3.5,3.6,0.25,0.2,0.997,162.03
700.0 MHz,20.646,92.468,0.25,3.5,3.7,0.2,0.25,0.996,159.413
700.0 MHz,18.51,105.017,0.25,3.5,3.7,0.25,0.2,0.997,161.504
700.0 MHz,21.226,92.306,0.25,3.5,3.8,0.2,0.25,0.996,158.847
700.0 MHz,21.811,92.015,0.25,3.5,3.9,0.2,0.25,0.996,158.279
700.0 MHz,22.382,91.76,0.25,3.5,4.0,0.2,0.25,0.996,157.724
700.0 MHz,22.962,91.627,0.25,3.5,4.1,0.2,0.25,0.996,157.161
700.0 MHz,23.541,91.438,0.25,3.5,4.2,0.2,0.25,0.996,156.601
700.0 MHz,24.122,91.296,0.25,3.5,4.3,0.2,0.25,0.996,156.04
700.0 MHz,24.702,91.164,0.25,3.5,4.4,0.2,0.25,0.995,155.481
700.0 MHz,25.284,91.044,0.25,3.5,4.5,0.2,0.25,0.995,154.921
700.0 MHz,25.864,90.938,0.25,3.5,4.6,0.2,0.25,0.995,154.366
700.0 MHz,26.446,90.748,0.25,3.5,4.7,0.2,0.25,0.995,153.808
700.0 MHz,27.06,91.795,0.25,3.5,4.8,0.2,0.25,0.995,153.221
700.0 MHz,27.633,91.595,0.25,3.5,4.9,0.2,0.3,0.995,152.676
700.0 MHz,24.946,103.876,0.25,3.5,4.9,0.25,0.3,0.996,155.247
700.0 MHz,28.216,91.494,0.25,3.5,5.0,0.2,0.3,0.995,152.122
700.0 MHz,25.485,103.717,0.25,3.5,5.0,0.25,0.3,0.996,154.729
700.0 MHz,14.314,66.193,0.25,3.6,2.0,0.1,0.1,,
700.0 MHz,10.85,94.131,0.25,3.6,2.0,0.2,0.2,0.998,169.096
700.0 MHz,11.42,93.221,0.25,3.6,2.1,0.2,0.2,0.998,168.527
700.0 MHz,13.119,91.555,0.25,3.6,2.4,0.2,0.2,0.998,166.835
700.0 MHz,13.689,90.998,0.25,3.6,2.5,0.2,0.25,0.997,166.267
700.0 MHz,12.146,103.849,0.25,3.6,2.5,0.25,0.2,0.998,167.803
700.0 MHz,14.287,93.781,0.25,3.6,2.6,0.2,0.25,0.997,165.674
700.0 MHz,12.659,108.714,0.25,3.6,2.6,0.25,0.2,0.998,167.292
700.0 MHz,14.864,93.337,0.25,3.6,2.7,0.2,0.25,0.997,165.101
700.0 MHz,13.193,106.606,0.25,3.6,2.7,0.25,0.2,0.998,166.761
700.0 MHz,15.437,93.014,0.25,3.6,2.8,0.2,0.25,0.997,164.534
700.0 MHz,13.72,106.282,0.25,3.6,2.8,0.25,0.2,0.998,166.237
700.0 MHz,16.011,92.789,0.25,3.6,2.9,0.2,0.25,0.997,163.967
700.0 MHz,14.264,105.282,0.25,3.6,2.9,0.25,0.2,0.998,165.696
700.0 MHz,16.591,92.325,0.25,3.6,3.0,0.2,0.25,0.997,163.394
700.0 MHz,14.794,104.982,0.25,3.6,3.0,0.25,0.2,0.998,165.171
700.0 MHz,17.161,91.992,0.25,3.6,3.1,0.2,0.25,0.997,162.831
700.0 MHz,15.329,104.475,0.25,3.6,3.1,0.25,0.2,0.997,164.641
700.0 MHz,17.735,91.724,0.25,3.6,3.2,0.2,0.25,0.997,162.266
700.0 MHz,15.857,104.283,0.25,3.6,3.2,0.25,0.2,0.997,164.119
700.0 MHz,18.312,91.489,0.25,3.6,3.3,0.2,0.25,0.997,161.698
700.0 MHz,16.387,104.11,0.25,3.6,3.3,0.25,0.2,0.997,163.595
700.0 MHz,18.889,91.285,0.25,3.6,3.4,0.2,0.25,0.996,161.132
700.0 MHz,16.916,103.935,0.25,3.6,3.4,0.25,0.2,0.997,163.073
700.0 MHz,19.464,91.098,0.25,3.6,3.5,0.2,0.25,0.996,160.569
700.0 MHz,17.444,103.535,0.25,3.6,3.5,0.25,0.2,0.997,162.552
700.0 MHz,20.042,90.829,0.25,3.6,3.6,0.2,0.25,0.996,160.003
700.0 MHz,17.975,103.3,0.25,3.6,3.6,0.25,0.2,0.997,162.03
700.0 MHz,20.646,92.468,0.25,3.6,3.7,0.2,0.25,0.996,159.413
700.0 MHz,18.51,105.017,0.25,3.6,3.7,0.25,0.2,0.997,161.504
700.0 MHz,21.226,92.306,0.25,3.6,3.8,0.2,0.25,0.996,158.847
700.0 MHz,21.811,92.015,0.25,3.6,3.9,0.2,0.25,0.996,158.279
700.0 MHz,22.382,91.76,0.25,3.6,4.0,0.2,0.25,0.996,157.724
700.0 MHz,22.962,91.627,0.25,3.6,4.1,0.2,0.25,0.996,157.161
700.0 MHz,23.541,91.438,0.25,3.6,4.2,0.2,0.25,0.996,156.601
700.0 MHz,24.122,91.296,0.25,3.6,4.3,0.2,0.25,0.996,156.04
700.0 MHz,24.702,91.164,0.25,3.6,4.4,0.2,0.25,0.995,155.481
700.0 MHz,25.284,91.044,0.25,3.6,4.5,0.2,0.25,0.995,154.921
700.0 MHz,25.864,90.938,0.25,3.6,4.6,0.2,0.25,0.995,154.366
700.0 MHz,26.446,90.748,0.25,3.6,4.7,0.2,0.25,0.995,153.808
700.0 MHz,27.06,91.795,0.25,3.6,4.8,0.2,0.25,0.995,153.221
700.0 MHz,27.633,91.595,0.25,3.6,4.9,0.2,0.3,0.995,152.676
700.0 MHz,24.946,103.876,0.25,3.6,4.9,0.25,0.3,0.996,155.247
700.0 MHz,28.216,91.494,0.25,3.6,5.0,0.2,0.3,0.995,152.122
700.0 MHz,25.485,103.717,0.25,3.6,5.0,0.25,0.3,0.996,154.729
700.0 MHz,14.314,66.193,0.25,3.7,2.0,0.1,0.1,,
700.0 MHz,10.85,94.131,0.25,3.7,2.0,0.2,0.2,0.998,169.096
700.0 MHz,11.42,93.221,0.25,3.7,2.1,0.2,0.2,0.998,168.527
700.0 MHz,13.119,91.555,0.25,3.7,2.4,0.2,0.2,0.998,166.835
700.0 MHz,13.689,90.998,0.25,3.7,2.5,0.2,0.25,0.997,166.267
700.0 MHz,12.146,103.849,0.25,3.7,2.5,0.25,0.2,0.998,167.803
700.0 MHz,14.287,93.781,0.25,3.7,2.6,0.2,0.25,0.997,165.674
700.0 MHz,12.659,108.714,0.25,3.7,2.6,0.25,0.2,0.998,167.292
700.0 MHz,14.864,93.337,0.25,3.7,2.7,0.2,0.25,0.997,165.101
700.0 MHz,13.193,106.606,0.25,3.7,2.7,0.25,0.2,0.998,166.761
700.0 MHz,15.437,93.014,0.25,3.7,2.8,0.2,0.25,0.997,164.534
700.0 MHz,13.72,106.282,0.25,3.7,2.8,0.25,0.2,0.998,166.237
700.0 MHz,16.011,92.789,0.25,3.7,2.9,0.2,0.25,0.997,163.967
700.0 MHz,14.264,105.282,0.25,3.7,2.9,0.25,0.2,0.998,165.696
700.0 MHz,16.591,92.325,0.25,3.7,3.0,0.2,0.25,0.997,163.394
700.0 MHz,14.794,104.982,0.25,3.7,3.0,0.25,0.2,0.998,165.171
700.0 MHz,17.161,91.992,0.25,3.7,3.1,0.2,0.25,0.997,162.831
700.0 MHz,15.329,104.475,0.25,3.7,3.1,0.25,0.2,0.997,164.641
700.0 MHz,17.735,91.724,0.25,3.7,3.2,0.2,0.25,0.997,162.266
700.0 MHz,15.857,104.283,0.25,3.7,3.2,0.25,0.2,0.997,164.119
700.0 MHz,18.312,91.489,0.25,3.7,3.3,0.2,0.25,0.997,161.698
700.0 MHz,16.387,104.11,0.25,3.7,3.3,0.25,0.2,0.997,163.595
700.0 MHz,18.889,91.285,0.25,3.7,3.4,0.2,0.25,0.996,161.132
700.0 MHz,16.916,103.935,0.25,3.7,3.4,0.25,0.2,0.997,163.073
700.0 MHz,19.464,91.098,0.25,3.7,3.5,0.2,0.25,0.996,160.569
700.0 MHz,17.444,103.535,0.25,3.7,3.5,0.25,0.2,0.997,162.552
700.0 MHz,20.042,90.829,0.25,3.7,3.6,0.2,0.25,0.996,160.003
700.0 MHz,17.975,103.3,0.25,3.7,3.6,0.25,0.2,0.997,162.03
700.0 MHz,20.646,92.468,0.25,3.7,3.7,0.2,0.25,0.996,159.413
